date,tracking_id,category,source,price,name,mall,url,product_id
2026-06-16,g4,guard,naver,5600,피지컬프로 니 슬리브 무릎 압박 재활 밴드 보호대 네오프렌 5mm 7mm,힘쎈스포츠,https://smartstore.naver.com/main/products/5155230910,82699751833
2026-06-16,g5,guard,naver,14410,매드포머슬 니슬리브 무릎보호대 네오프렌 관절보호 sbd  7mm  M  1개,쿠팡,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8502743014&ctag=8502743014&lptag=I5794122222&itemId=5794122222&vendorItemId=73092727363&spec=10305199,39923634994
2026-06-16,g6,guard,naver,2410,라이크미 땡큐 면 무릎 보호대 lm0119,네이버,https://search.shopping.naver.com/catalog/58341402578,58341402578
2026-06-16,g7,guard,naver,920,얇은 발목 보호대 손목 키퍼 무릎 연골 골프 엘보 4종 아대 발등 통증 아킬레스건 볼링 아데 팔꿈치 군대 댄스 스쿼트 배구 테니스 엘보우 슬리브 작업용 축구 등산 슬개골 니슬리브,해브펀 HaveFun,https://smartstore.naver.com/main/products/9866071860,87410574133
2026-06-16,g8,guard,naver,6800,팔 보호대 한쌍 팔꿈치 보호대 sbd 테니스 엘보우 헬스 팔꿈치,더블유엠유세컨드,http://reknit0011.godomall.com/goods/goods_view.php?goodsNo=1000507214&inflow=naver,55503600481
2026-06-16,g9,guard,naver,1020,측정도구 체형측정 원터치벨트 허리청결기 건조기벨트 허리보호대 가죽허리줄자 원터치 허리줄자,롯데ON,https://www.lotteon.com/p/product/LO2598016083?sitmNo=LO2598016083_2598016084&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,58328024884
2026-06-16,g10,guard,naver,32900,콤마스포츠 이중잠금 버클 웨이트 복압벨트 SBD 나일론 허리보호대 파워리프팅 역도 크로스핏,콤마스포츠,https://smartstore.naver.com/main/products/11127647782,88672158104
2026-06-16,g11,guard,naver,3078,"덤벨 리프팅 스트랩 2개, 역도 손목 스트랩, 바벨 웨이트 세트용 웨이트 리프팅 스트랩, 역도, 보디빌딩, 파워리프팅, 근력 운동, 데드리프트, 보디빌딩 운동용품, 헬스장용",TEMU kr,https://temuaffiliateprogram.pxf.io/c/5257454/1580294/18350?u=https%3A%2F%2Fwww.temu.com%2Fkr%2Fgoods.html%3Fsku_id%3D17612529393415%26goods_id%3D601103977543897%26_x_ns_catalog_id%3D10000%26_x_ns_product_id%3D17612529393415%26_x_ns_site_id%3D119%26_x_ns_ad%3d{ad},60121990860
2026-06-16,g12,guard,naver,140,성원 프라이드 각반 청색 1개,네이버,https://search.shopping.naver.com/catalog/59548437826,59548437826
2026-06-16,g13,guard,naver,20,17cm 얇은 손목 스트랩 끈(5컬러),앤디미로,https://smartstore.naver.com/main/products/12686252908,90230763832
